DOGE-USDT-SWAP_buyprice_long_202605141158=0.1123	-379->-378
DOGE-USDT-SWAP_buyprice_long_202605141159=0.11239	-380->-379
DOGE-USDT-SWAP_buyprice_long_202605141202=0.1121	-377->-376
DOGE-USDT-SWAP_buyprice_long_202605141202=0.11197	-376->-375
XAU-USDT-SWAP_buyprice_long_202605141208=4683.3	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605141213=0.11256	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605141218=0.11274	9999997->9999998
XAU-USDT-SWAP_buyprice_long_202605141334=4704.4	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605141410=0.11439	-401->-400
DOGE-USDT-SWAP_buyprice_long_202605141410=0.11448	-402->-401
DOGE-USDT-SWAP_buyprice_long_202605141416=0.11409	-398->-397
DOGE-USDT-SWAP_buyprice_long_202605141418=0.11434	-395->-394
DOGE-USDT-SWAP_buyprice_long_202605141418=0.11433	-396->-395
DOGE-USDT-SWAP_buyprice_long_202605141418=0.11433	-397->-396
DOGE-USDT-SWAP_buyprice_long_202605141418=0.11434	-399->-398
DOGE-USDT-SWAP_buyprice_long_202605141418=0.11433	-400->-399
DOGE-USDT-SWAP_buyprice_long_202605141430=0.11459	-403->-402
XAU-USDT-SWAP_buyprice_long_202605141434=4698.4	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605141440=0.11467	-404->-403
XAU-USDT-SWAP_buyprice_long_202605141444=4702.5	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605141449=0.1146	-403->-402
DOGE-USDT-SWAP_buyprice_long_202605141449=0.11467	-404->-403
DOGE-USDT-SWAP_buyprice_long_202605141500=0.11448	-402->-401
DOGE-USDT-SWAP_buyprice_long_202605141501=0.1148	-405->-404
DOGE-USDT-SWAP_buyprice_long_202605141502=0.11474	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605141507=0.11439	-401->-400
DOGE-USDT-SWAP_buyprice_long_202605141511=0.11422	-399->-398
DOGE-USDT-SWAP_buyprice_long_202605141516=0.1143	-400->-399
DOGE-USDT-SWAP_buyprice_long_202605141523=0.11459	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605141526=0.11488	-406->-405
DOGE-USDT-SWAP_buyprice_long_202605141527=0.11498	-407->-406
DOGE-USDT-SWAP_buyprice_long_202605141527=0.11497	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605141529=0.11432	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605141529=0.11439	-401->-400
DOGE-USDT-SWAP_buyprice_long_202605141532=0.11448	-402->-401
DOGE-USDT-SWAP_buyprice_long_202605141532=0.11465	-403->-402
DOGE-USDT-SWAP_buyprice_long_202605141532=0.11469	-404->-403
DOGE-USDT-SWAP_buyprice_long_202605141532=0.11471	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605141548=0.11396	-396->-395
DOGE-USDT-SWAP_buyprice_long_202605141548=0.11401	-397->-396
DOGE-USDT-SWAP_buyprice_long_202605141558=0.11385	-395->-394
DOGE-USDT-SWAP_buyprice_long_202605141602=0.11345	-391->-390
DOGE-USDT-SWAP_buyprice_long_202605141606=0.11334	-390->-389
DOGE-USDT-SWAP_buyprice_long_202605141607=0.11325	-389->-388
DOGE-USDT-SWAP_buyprice_long_202605141610=0.11353	-392->-391
XAU-USDT-SWAP_buyprice_long_202605141623=4702.9	9999997->9999998
XAU-USDT-SWAP_buyprice_long_202605141626=4707.8	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605141639=0.11345	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605141650=0.11316	-388->-387
XAU-USDT-SWAP_buyprice_long_202605141709=4699.8	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605141715=0.11306	-387->-386
DOGE-USDT-SWAP_buyprice_long_202605141726=0.11303	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605141740=0.11286	-385->-384
DOGE-USDT-SWAP_buyprice_long_202605141741=0.11297	-386->-385
XAU-USDT-SWAP_buyprice_long_202605141741=4698.9	9999997->9999998
XAU-USDT-SWAP_buyprice_long_202605141746=4704	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605141800=0.11341	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605141812=0.11362	-393->-392
DOGE-USDT-SWAP_buyprice_long_202605141838=0.11337	9999997->9999998
XAU-USDT-SWAP_buyprice_long_202605141853=4699.4	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605141855=0.11373	-394->-393
DOGE-USDT-SWAP_buyprice_long_202605141938=0.11328	9999997->9999998
XAU-USDT-SWAP_buyprice_long_202605141948=4704	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605142001=0.11326	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605142003=0.11333	9999997->9999998
XAU-USDT-SWAP_buyprice_long_202605142015=4705.5	9999997->9999998
XAU-USDT-SWAP_buyprice_long_202605142021=4709.4	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605142026=0.11355	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605142034=0.11412	-398->-397
DOGE-USDT-SWAP_buyprice_long_202605142034=0.11421	-399->-398
DOGE-USDT-SWAP_buyprice_long_202605142034=0.11432	-400->-399
XAU-USDT-SWAP_buyprice_long_202605142059=4708.3	9999997->9999998
XAU-USDT-SWAP_buyprice_long_202605142112=4707.8	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605142131=0.11493	-407->-406
DOGE-USDT-SWAP_buyprice_long_202605142132=0.11503	-408->-407
DOGE-USDT-SWAP_buyprice_long_202605142133=0.1147	-404->-403
DOGE-USDT-SWAP_buyprice_long_202605142135=0.11449	-402->-401
DOGE-USDT-SWAP_buyprice_long_202605142136=0.11426	-399->-398
DOGE-USDT-SWAP_buyprice_long_202605142136=0.1143	-400->-399
DOGE-USDT-SWAP_buyprice_long_202605142137=0.11438	-401->-400
DOGE-USDT-SWAP_buyprice_long_202605142138=0.11457	-403->-402
DOGE-USDT-SWAP_buyprice_long_202605142149=0.11478	-405->-404
DOGE-USDT-SWAP_buyprice_long_202605142150=0.11487	-406->-405
XAU-USDT-SWAP_buyprice_long_202605142152=4687.1	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605142209=0.11465	9999997->9999998
XAU-USDT-SWAP_buyprice_long_202605142223=4700.5	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605142223=0.11523	-404->-403
DOGE-USDT-SWAP_buyprice_long_202605142223=0.11522	9999997->9999998
